Date,Item,House Collection/ Self Pickup,Organisation,Bin Location
2021-01-12,Aerosol Can,House Collection,Alba,
2021-01-12,Board Games,House Collection,Alba,
2021-01-13,Rice Cookers,House Collection,Alba,
2021-01-13,Canned Food Can,Self Disposal,Salvation Army,
2021-01-13,Paint Container,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-13,Canned Food Can,House Collection,,JALAN NOVENA
2021-01-13,Skirts,Self Disposal,Passiton.org,
2021-01-13,Beer Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-13,Markers,House Collection,,JALAN TAMPANG
2021-01-13,Glass Medicine Bottle,House Collection,,TAMAN SIGLAP
2021-01-13,Aerosol Can,Self Disposal,Salvation Army,
2021-01-13,Tissue Paper,Self Disposal,,HILLVIEW ROAD
2021-01-13,Tissue Paper,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-13,Canned Food Can,House Collection,,BLOXHOME DRIVE
2021-01-13,Network Hubs,House Collection,,TUAS LINK 1
2021-01-14,Instant Noodles,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-14,Potato Chip Bag,Self Disposal,Alba E-waste Smart Recycling,
2021-01-14,Paper Envelope,House Collection,,DAKOTA CRESCENT
2021-01-14,Melamine,House Collection,PWC-Alba-WH,
2021-01-14,Routers,Self Disposal,,JALAN LATEH
2021-01-14,Glass Cosmetic Bottle,Self Disposal,,MERRYN ROAD
2021-01-14,Aerosol Can,Self Disposal,,CHANGI SOUTH AVENUE 4
2021-01-14,Biscuit Tin,House Collection,Alba,
2021-01-14,Windows,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-14,Detergent Bottle,Self Disposal,,PIONEER SECTOR 1
2021-01-14,Facial Cleanser Bottle,House Collection,,MCNAIR ROAD
2021-01-14,Beer Bottle,House Collection,,NEW BRIDGE ROAD
2021-01-14,Printed Paper,Self Disposal,,TEMBELING ROAD
2021-01-14,Glass Medicine Bottle,Self Disposal,PWC-800 Super,
2021-01-14,Paper Towel,House Collection,Alba,
2021-01-14,Beer Bottle,Self Disposal,PWC-Sembwaste,
2021-01-14,Aerosol Can,Self Disposal,,TEBAN GARDENS CRESCENT
2021-01-14,Toy Cars,Self Disposal,,BRISTOL ROAD
2021-01-15,Routers,Self Disposal,Alba E-waste Smart Recycling,
2021-01-15,Bodywash Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-15,Carriers,Self Disposal,Alba E-waste Smart Recycling,
2021-01-15,Jam Bottle,Self Disposal,Tidy,
2021-01-15,Glass Medicine Bottle,House Collection,,PENJURU ROAD
2021-01-15,Windows,Self Disposal,,ADAM ROAD
2021-01-15,Beer Bottle,Self Disposal,PWC-Sembwaste,
2021-01-15,Tissue Box,House Collection,,SUNBIRD ROAD
2021-01-15,Facial Cleanser Bottle,Self Disposal,PWC-800 Super,
2021-01-15,Canned Food Can,House Collection,,JALAN PELEPAH
2021-01-15,Facial Cleanser Bottle,House Collection,Greensquare,
2021-01-15,Cutlery,Self Disposal,,CHOON GUAN STREET
2021-01-15,CD,Self Disposal,Alba E-waste Smart Recycling,
2021-01-16,Namecard,House Collection,Alba,
2021-01-16,Plastic Egg Tray,House Collection,,MANDAI ROAD - TRACK 7
2021-01-16,Rice,Self Disposal,,JALAN USAHA
2021-01-16,Drinking Straw,Self Disposal,PWC-Sembwaste,
2021-01-16,Shampoo Bottle,Self Disposal,PWC-800 Super,
2021-01-16,Detergent Bottle,House Collection,,SILOSO ROAD
2021-01-16,Sofas,Self Disposal,Passiton.org,
2021-01-16,Diaper,House Collection,Greensquare,
2021-01-16,Glass Cosmetic Bottle,Self Disposal,Ezi,
2021-01-16,Sanitary Pad,Self Disposal,Alba E-waste Smart Recycling,
2021-01-16,Paint Container,Self Disposal,Ezi,
2021-01-16,Canned Food Can,House Collection,,DOVER RISE
2021-01-16,Plastic Film Packaging,House Collection,Greensquare,
2021-01-16,Canned Food Can,House Collection,,PASIR RIS STREET 22
2021-01-16,Aerosol Can,House Collection,Alba,
2021-01-16,Biscuit Tin,House Collection,,CHUAN VIEW
2021-01-16,Biscuit Tin,Self Disposal,PWC-800 Super,
2021-01-16,Glass Medicine Bottle,House Collection,,MARSILING DRIVE
2021-01-16,Clothes Dryers,House Collection,,TAMAN SERASI
2021-01-16,Aerosol Can,House Collection,,LORONG 37 GEYLANG
2021-01-17,Glass Medicine Bottle,Self Disposal,,SANDILANDS ROAD
2021-01-17,Soft Toys,House Collection,PWC-Alba-WH,
2021-01-17,Bodywash Bottle,Self Disposal,PWC-800 Super,
2021-01-17,Bodywash Bottle,Self Disposal,Tidy,
2021-01-17,Sports Shoes,Self Disposal,,WATTEN VIEW
2021-01-17,Shampoo Bottle,House Collection,,MOONBEAM TERRACE
2021-01-17,Set-Top Boxes,Self Disposal,,TANAH MERAH KECHIL LINK
2021-01-17,Biscuit Tin,House Collection,,ANDREWS TERRACE
2021-01-17,Jam Bottle,House Collection,Greensquare,
2021-01-17,Aerosol Can,House Collection,PWC-Alba-WH,
2021-01-17,Canned Food Can,House Collection,Greensquare,
2021-01-17,Metal Bottle Cap,Self Disposal,Tidy,
2021-01-17,Biscuits,House Collection,,DEFU LANE 5
2021-01-18,Detergent Bottle,House Collection,,BEGONIA CRESCENT
2021-01-18,Magazine Wrapper,Self Disposal,Salvation Army,
2021-01-18,Glass Cosmetic Bottle,Self Disposal,Salvation Army,
2021-01-18,Shampoo Bottle,House Collection,Greensquare,
2021-01-18,Carriers,Self Disposal,Alba E-waste Smart Recycling,
2021-01-18,Laptops,Self Disposal,Passiton.org,
2021-01-18,Egg Tray,House Collection,,BISHAN STREET 25
2021-01-18,Plastic Food Bottle,House Collection,Alba,
2021-01-18,Toilet Paper,House Collection,Alba,
2021-01-18,Medicine Blister Pack,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-18,Tables,Self Disposal,Salvation Army,
2021-01-18,Disposable Wooden Chopstick,Self Disposal,,YUNG HO WALK
2021-01-19,Newspaper,House Collection,,PEAKVILLE WALK
2021-01-19,Bodywash Bottle,Self Disposal,,KALLANG WAY 5
2021-01-19,Facial Cleanser Bottle,House Collection,,KRANJI CLOSE
2021-01-19,Glass Plate,Self Disposal,Alba E-waste Smart Recycling,
2021-01-19,Shampoo Bottle,House Collection,Greensquare,
2021-01-19,Detergent Bottle,Self Disposal,Ezi,
2021-01-19,Watches,House Collection,PWC-Alba-WH,
2021-01-19,Food Jar,Self Disposal,,SIXTH AVENUE
2021-01-19,Canned Food Can,Self Disposal,,COMMONWEALTH AVENUE
2021-01-19,Beer Bottle,Self Disposal,Salvation Army,
2021-01-19,Telephone Directory,House Collection,,LENTOR CRESCENT
2021-01-20,Paint Container,Self Disposal,,BEGONIA WALK
2021-01-20,Shampoo Bottle,Self Disposal,PWC-800 Super,
2021-01-20,Baking Glassware,Self Disposal,Alba E-waste Smart Recycling,
2021-01-20,Switches,Self Disposal,Ezi,
2021-01-20,Desktop Monitors,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-20,Diaper,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-20,Detergent Bottle,Self Disposal,,KAY POH ROAD
2021-01-20,Facial Cleanser Bottle,Self Disposal,,LORONG 5 TOA PAYOH
2021-01-21,Bodywash Bottle,Self Disposal,,JALAN SAHABAT
2021-01-21,Disposable Wooden Chopstick,House Collection,,TANGMERE ROAD
2021-01-21,Ovens,Self Disposal,,LORONG 4 TOA PAYOH
2021-01-21,Facial Cleanser Bottle,Self Disposal,PWC-Sembwaste,
2021-01-21,Canned Food Can,House Collection,Alba,
2021-01-21,Glass Cosmetic Bottle,Self Disposal,PWC-800 Super,
2021-01-21,Detergent Bottle,Self Disposal,Passiton.org,
2021-01-21,Paper Packaging,House Collection,,BUKIT CHERMIN ROAD
2021-01-21,Windows,House Collection,,TUAS AVENUE 12
2021-01-21,Beer Bottle,Self Disposal,Salvation Army,
2021-01-21,Paper Receipt,House Collection,,GENTLE DRIVE
2021-01-21,Red Packet,Self Disposal,Alba E-waste Smart Recycling,
2021-01-21,Biscuit Tin,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-21,Aerosol Can,Self Disposal,,ADMIRALTY ROAD
2021-01-21,Paint Container,Self Disposal,,BUKIT BATOK CRESCENT
2021-01-21,Shampoo Bottle,House Collection,,KELANTAN ROAD
2021-01-22,Glass Medicine Bottle,Self Disposal,,HALIFAX ROAD
2021-01-22,Biscuit Tin,Self Disposal,,KAY POH ROAD
2021-01-22,Bodywash Bottle,Self Disposal,PWC-800 Super,
2021-01-22,Shampoo Bottle,Self Disposal,Salvation Army,
2021-01-22,Bodywash Bottle,Self Disposal,,KEAT HONG LINK
2021-01-22,Detergent Bottle,House Collection,Greensquare,
2021-01-22,Beer Bottle,Self Disposal,Salvation Army,
2021-01-22,Glass Medicine Bottle,Self Disposal,,FOURTH AVENUE
2021-01-22,Aerosol Can,Self Disposal,Salvation Army,
2021-01-22,Video Tape,Self Disposal,,LENTOR WAY
2021-01-22,Beer Bottle,Self Disposal,PWC-800 Super,
2021-01-22,Facial Cleanser Bottle,House Collection,,STADIUM PLACE
2021-01-22,Ovens,House Collection,Greensquare,
2021-01-22,Detergent Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-22,Paint Container,Self Disposal,,JALAN RAHMAT
2021-01-22,Styrofoam,House Collection,,SUMMER PLACE
2021-01-22,Glass Cosmetic Bottle,House Collection,,UPPER JURONG ROAD
2021-01-22,Paper Cup,Self Disposal,Ezi,
2021-01-22,Bodywash Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-23,Aerosol Can,House Collection,,JURONG WEST STREET 42
2021-01-23,Sanitary Pad,Self Disposal,,JALAN BATALONG
2021-01-23,High Chairs,Self Disposal,,MERBAU ROAD
2021-01-23,Paint Container,Self Disposal,Salvation Army,
2021-01-23,Coffee Capsules,Self Disposal,Ezi,
2021-01-23,Sofas,Self Disposal,Ezi,
2021-01-23,Glass Cosmetic Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-23,Sofas,Self Disposal,,KENANGA AVENUE
2021-01-23,Glass Medicine Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-23,Detergent Bottle,House Collection,Alba,
2021-01-23,Shampoo Bottle,Self Disposal,PWC-800 Super,
2021-01-23,Markers,House Collection,,COMPUTING DRIVE
2021-01-23,Aerosol Can,House Collection,,PHOENIX GARDEN
2021-01-23,Shampoo Bottle,House Collection,Alba,
2021-01-23,Shampoo Bottle,House Collection,PWC-Alba-WH,
2021-01-23,Sofas,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-24,Paint Container,House Collection,PWC-Alba-WH,
2021-01-24,Paint Container,Self Disposal,,HINDHEDE PLACE
2021-01-24,Facial Cleanser Bottle,Self Disposal,,TAI HWAN TERRACE
2021-01-24,High Chairs,House Collection,PWC-Alba-WH,
2021-01-24,Facial Cleanser Bottle,Self Disposal,,SAINT MICHAEL'S ROAD
2021-01-24,Glass Cosmetic Bottle,Self Disposal,,YUNG AN ROAD
2021-01-24,Paper Bag,House Collection,PWC-Alba-WH,
2021-01-24,Beer Bottle,House Collection,,TUAS VIEW CRESCENT
2021-01-24,Canned Food Can,House Collection,,LOYANG WAY 1
2021-01-24,Pencils,House Collection,,GEYLANG EAST CENTRAL
2021-01-24,Plastic Drink Bottle,House Collection,,TANJONG PAGAR PLAZA
2021-01-24,Clothes Dryers,Self Disposal,,LORONG SAMAK
2021-01-24,Glass Cosmetic Bottle,Self Disposal,,VANDA CRESCENT
2021-01-24,Glass Cosmetic Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-24,Shampoo Bottle,Self Disposal,PWC-Sembwaste,
2021-01-25,Calendar,House Collection,,PENJURU ROAD
2021-01-25,Diaper,House Collection,,NOVENA RISE
2021-01-25,Paper Envelope,House Collection,Greensquare,
2021-01-25,Namecard,House Collection,Greensquare,
2021-01-25,Plastic Bag,House Collection,Alba,
2021-01-25,Set-Top Boxes,Self Disposal,Alba E-waste Smart Recycling,
2021-01-25,Plastic Egg Tray,House Collection,,CLEMENCEAU AVENUE NORTH
2021-01-25,Paint Container,House Collection,,COLLEGE AVENUE EAST
2021-01-25,Canned Food Can,Self Disposal,Passiton.org,
2021-01-25,Bodywash Bottle,House Collection,,EUNOS AVENUE 7A
2021-01-25,Routers,House Collection,,BUKIT BATOK STREET 31
2021-01-26,Paint Container,Self Disposal,,LIM TECK BOO ROAD
2021-01-26,Beer Bottle,Self Disposal,,SUPREME COURT LANE
2021-01-26,Glass Medicine Bottle,Self Disposal,,TENGAH GARDEN AVENUE
2021-01-26,Pyrex Glass,House Collection,,RAMSGATE ROAD
2021-01-26,Bodywash Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-26,Bodywash Bottle,House Collection,Alba,
2021-01-26,Beer Bottle,House Collection,Alba,
2021-01-26,Paper Packaging,House Collection,PWC-Alba-WH,
2021-01-26,Shampoo Bottle,Self Disposal,,TAMPINES PLACE
2021-01-26,Cassette Tape,Self Disposal,,LENGKONG DUA
2021-01-26,Aerosol Can,Self Disposal,,DAISY AVENUE
2021-01-27,Bubble Wrap,Self Disposal,,CHWEE CHIAN ROAD
2021-01-27,Telephone Directory,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-27,Biscuit Tin,House Collection,,MANDAI ESTATE
2021-01-27,CD Case,House Collection,,CHOA CHU KANG AVENUE 2
2021-01-27,Routers,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-27,Ceramic,Self Disposal,PWC-800 Super,
2021-01-27,Reusable Bags,Self Disposal,Salvation Army,
2021-01-27,Glass Cosmetic Bottle,House Collection,,BEATTY LANE
2021-01-27,Biscuit Tin,Self Disposal,,RIVERVALE CRESCENT
2021-01-27,Bodywash Bottle,House Collection,,KIM TIAN PLACE
2021-01-27,Metal Drink Can,Self Disposal,,KLANG LANE
2021-01-28,Sofas,House Collection,,TAMPINES STREET 73
2021-01-28,Pens,Self Disposal,,BUANGKOK DRIVE
2021-01-28,Glass Cosmetic Bottle,Self Disposal,Salvation Army,
2021-01-28,Light Bulbs,House Collection,,BANGKIT ROAD
2021-01-28,Book,Self Disposal,Ezi,
2021-01-28,Canned Food Can,House Collection,,EASTWOOD WALK
2021-01-28,Glass Medicine Bottle,Self Disposal,PWC-800 Super,
2021-01-28,Facial Cleanser Bottle,Self Disposal,Tidy,
2021-01-28,Sofas,House Collection,,GLADIOLA DRIVE
2021-01-28,Beer Bottle,House Collection,,SENGKANG EAST ROAD
2021-01-28,Routers,House Collection,Alba,
2021-01-28,Paint Container,Self Disposal,,CHOA CHU KANG STREET 62
2021-01-29,Switches,Self Disposal,Passiton.org,
2021-01-29,Egg Tray,House Collection,,JALAN KESOMA
2021-01-29,Paint Container,Self Disposal,Passiton.org,
