s/n,Rand 1,Rand 2,Date,Item,House Collection/ Self Pickup,Organisation,Bin Location
44,0.029469904,0.131664479,20/05/2022,Aerosol Can,Self Disposal,Salvation Army,NA
45,0.480388895,0.153911144,10/02/2021,Canned Food Can,Self Disposal,Ezi,NA
46,0.305097327,0.539605302,21/05/2021,Paint Container,House Collection,NA,TAMAN MAS MERAH
47,0.169354592,0.458237147,17/08/2022,Facial Cleanser Bottle,Self Disposal,PWC-800 Super,NA
48,0.447792307,0.163382583,24/12/2021,Biscuit Tin,Self Disposal,Ezi,NA
49,0.963532345,0.831786584,08/05/2021,Tissue Box,House Collection,NA,ANG MO KIO INDUSTRIAL PARK 2
50,0.013404759,0.108303325,06/08/2021,Aerosol Can,Self Disposal,Salvation Army,NA
51,0.951497226,0.725238406,27/01/2022,Air-Conditioners,House Collection,NA,JALAN SAUDARA KU
52,0.566354554,0.125350023,17/07/2022,Rice Cookers,Self Disposal,Salvation Army,NA
53,0.436564273,0.11436293,26/07/2021,Biscuit Tin,Self Disposal,Salvation Army,NA
54,0.784813852,0.349518051,19/02/2022,Ovens,Self Disposal,Alba E-waste Smart Recycling,NA
55,0.405055558,0.671721333,30/09/2021,Beer Bottle,Self Disposal,NA,BALAM ROAD
56,0.92627825,0.904380401,29/08/2022,Prams,Self Disposal,NA,BULIM LANE 2
57,0.758462192,0.724406098,14/02/2022,Condiment Bottle,Self Disposal,NA,JEDBURGH GARDENS
58,0.243251277,0.225294117,08/06/2021,Glass Medicine Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,NA
59,0.594648219,0.8265263,26/10/2022,Baking Glassware,House Collection,NA,ANG MO KIO AVENUE 10
60,0.231461699,0.319340863,04/10/2022,Glass Medicine Bottle,Self Disposal,Alba E-waste Smart Recycling,NA
61,0.301026434,0.384134102,10/01/2022,Paint Container,House Collection,PWC-Alba-WH,NA
62,0.711200877,0.6417875,15/06/2022,Laptops,Self Disposal,NA,JALAN PASIRAN
63,0.482301434,0.074234309,18/10/2021,Canned Food Can,Self Disposal,Passiton.org,NA
64,0.35151924,0.467809381,20/01/2021,Shampoo Bottle,Self Disposal,PWC-800 Super,NA
65,0.4279202,0.255349569,27/05/2021,Biscuit Tin,Self Disposal,Tidy,NA
66,0.076310205,0.907314386,06/06/2022,Bodywash Bottle,Self Disposal,NA,BUKIT BATOK WEST AVENUE 8
67,0.896399624,0.948612304,10/08/2021,Bodywash Bottle,House Collection,NA,SEMBAWANG DRIVE
68,0.558502309,0.709936037,08/01/2022,Detergent Bottle,House Collection,NA,THIAM SIEW AVENUE
69,0.575432583,0.90590369,13/05/2021,Medicine Blister Pack,Self Disposal,NA,WESTWOOD CRESCENT
70,0.304707284,0.270163226,15/10/2022,Paint Container,Self Disposal,Tidy,NA
71,0.977016231,0.981476744,02/11/2021,Biscuit Tin,House Collection,NA,SELETAR WEST FARMWAY 2
72,0.176539368,0.56951255,26/05/2022,Facial Cleanser Bottle,Self Disposal,NA,KITCHENER LINK
73,0.015561386,0.985214261,15/09/2022,Aerosol Can,House Collection,NA,NIM RISE
74,0.552057048,0.935578501,30/04/2022,Laptops,House Collection,NA,WOODLANDS STREET 13
75,0.694923142,0.21713109,19/08/2021,Melamine,Self Disposal,Gee Hoe Seng Pte Ltd,NA
76,0.485333826,0.449386519,10/09/2021,Canned Food Can,Self Disposal,PWC-Sembwaste,NA
77,0.331975545,0.414983399,09/11/2022,Shampoo Bottle,Self Disposal,PWC-Sembwaste,NA
78,0.234940445,0.931334381,13/12/2021,Glass Medicine Bottle,House Collection,NA,LIM CHU KANG LANE 4
79,0.416165303,0.452128042,19/11/2022,Biscuit Tin,Self Disposal,PWC-Sembwaste,NA
80,0.067550439,0.932935553,09/11/2022,Bodywash Bottle,Self Disposal,NA,KRANJI LINK
81,0.596109924,0.557464584,29/10/2021,Plastic Cutlery,House Collection,NA,YORK HILL
82,0.547275163,0.188947203,24/03/2021,Pens,Self Disposal,Gee Hoe Seng Pte Ltd,NA
83,0.406199196,0.893323861,29/10/2022,Beer Bottle,Self Disposal,NA,TUAS VIEW CLOSE
84,0.786816395,0.443061056,08/06/2022,Carriers,Self Disposal,PWC-Sembwaste,NA
85,0.398228192,0.694758203,16/02/2021,Beer Bottle,Self Disposal,NA,JALAN YASIN
86,0.923036937,0.759313115,11/10/2022,Shredded Paper,House Collection,NA,SEALAND ROAD
87,0.991502236,0.051246838,02/12/2021,Electric Mobility Scooters,Self Disposal,Passiton.org,NA
88,0.845913839,0.365155976,21/09/2021,Soft Toys,House Collection,PWC-Alba-WH,NA
89,0.098799979,0.282269848,24/09/2022,Detergent Bottle,House Collection,Alba,NA
90,0.563735928,0.111134918,28/02/2022,Paper Bag,Self Disposal,Salvation Army,NA
91,0.389797704,0.338035957,16/03/2021,Beer Bottle,Self Disposal,Alba E-waste Smart Recycling,NA
92,0.686873239,0.309020421,20/02/2022,Soft Toys,House Collection,Alba,NA
93,0.263688645,0.701530414,25/08/2021,Glass Medicine Bottle,Self Disposal,NA,LORONG N TELOK KURAU
94,0.916099926,0.532086039,04/05/2021,Aerosol Can,Self Disposal,NA,PERAHU ROAD
95,0.347780821,0.90903282,26/02/2021,Shampoo Bottle,House Collection,NA,BUKIT BATOK WEST AVENUE 5
96,0.089040099,0.62932417,01/02/2021,Bodywash Bottle,Self Disposal,NA,GREENWOOD GROVE
97,0.328543976,0.090293543,23/11/2021,Shampoo Bottle,Self Disposal,Passiton.org,NA
98,0.954532952,0.472985738,03/09/2022,Tissue Paper,Self Disposal,PWC-800 Super,NA
99,0.115987553,0.559493474,25/05/2022,Detergent Bottle,Self Disposal,NA,HOSPITAL CRESCENT
100,0.043620341,0.084520394,12/06/2022,Aerosol Can,Self Disposal,Passiton.org,NA
101,0.708578121,0.383851134,17/10/2022,Watches,House Collection,PWC-Alba-WH,NA
102,0.023426162,0.420765809,19/12/2021,Aerosol Can,Self Disposal,PWC-Sembwaste,NA
103,0.099210182,0.282621832,11/10/2021,Detergent Bottle,House Collection,Alba,NA
104,0.453539243,0.822332847,15/12/2021,Biscuit Tin,House Collection,NA,CORFE PLACE
105,0.874865879,0.127111433,12/11/2022,Styrofoam,Self Disposal,Salvation Army,NA
106,0.931140483,0.775851528,30/03/2021,Wireless Access Points,Self Disposal,NA,TAMPINES WALK
107,0.928935021,0.794055523,23/09/2022,Tables,House Collection,NA,HOW SUN DRIVE
108,0.454296094,0.835262417,13/03/2022,Biscuit Tin,House Collection,NA,BISHAN STREET 25
109,0.068329933,0.320964356,24/04/2021,Bodywash Bottle,Self Disposal,Alba E-waste Smart Recycling,NA
110,0.166879102,0.67861172,10/12/2021,Facial Cleanser Bottle,Self Disposal,NA,PINE CLOSE
111,0.823018906,0.419911327,21/03/2022,Plastic Egg Tray,Self Disposal,PWC-Sembwaste,NA
112,0.98163278,0.810195627,08/08/2021,Paper Receipt,House Collection,NA,HENDRY CLOSE
113,0.862055965,0.781119979,17/07/2022,Paper Envelope,House Collection,NA,HOUGANG AVENUE 4
114,0.772386513,0.27676098,03/08/2022,Light Bulbs,House Collection,Alba,NA
115,0.504825649,0.19424319,08/10/2021,Plastic Clothes Hanger,Self Disposal,Gee Hoe Seng Pte Ltd,NA
116,0.032177433,0.563148169,20/08/2022,Aerosol Can,House Collection,NA,PRINSEP STREET
117,0.845986067,0.820010757,30/04/2022,Toy Cars,Self Disposal,NA,LI HWAN PLACE
118,0.814046828,0.25790587,30/04/2021,Medicine Blister Pack,Self Disposal,Tidy,NA
119,0.815744201,0.852269101,28/02/2022,Wax Paper,House Collection,NA,GREENBANK PARK
120,0.060053579,0.659079233,25/12/2021,Bodywash Bottle,Self Disposal,NA,KALLANG WAY 5
121,0.712759967,0.506563525,21/10/2022,Long Fluorescent Tubes,House Collection,NA,NEW MARKET ROAD
122,0.430479659,0.050695012,21/10/2022,Biscuit Tin,Self Disposal,Passiton.org,NA
123,0.432757809,0.378411941,06/02/2022,Biscuit Tin,House Collection,PWC-Alba-WH,NA
124,0.213098462,0.369062879,11/01/2021,Glass Cosmetic Bottle,House Collection,PWC-Alba-WH,NA
125,0.144398041,0.046357985,10/07/2021,Facial Cleanser Bottle,Self Disposal,Passiton.org,NA
126,0.389589813,0.269282963,10/10/2022,Beer Bottle,Self Disposal,Tidy,NA
127,0.061682147,0.218394001,28/11/2021,Bodywash Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,NA
128,0.206648714,0.97056704,24/04/2022,Glass Cosmetic Bottle,House Collection,NA,SPRINGSIDE PLACE
129,0.318430605,0.299244011,17/08/2022,Shampoo Bottle,House Collection,Alba,NA
130,0.170603262,0.985564873,20/05/2021,Facial Cleanser Bottle,House Collection,NA,SUNRISE TERRACE
131,0.903044271,0.639208709,28/09/2021,Red Packet,House Collection,NA,SUFFOLK WALK
132,0.863575348,0.287591017,04/08/2021,Toilet Paper Roll,House Collection,Alba,NA
133,0.03518992,0.040455883,23/05/2022,Aerosol Can,House Collection,Greensquare,NA
134,0.670437078,0.405846498,14/09/2022,Tables,House Collection,PWC-Alba-WH,NA
135,0.626986339,0.792888095,28/08/2021,Board Games,House Collection,NA,JALAN LABU AYER
136,0.353162078,0.06732619,07/05/2022,Shampoo Bottle,Self Disposal,Passiton.org,NA
137,0.589357608,0.058268871,29/03/2022,Blouses,Self Disposal,Passiton.org,NA
138,0.795841807,0.308703868,01/03/2022,Wax Paper,House Collection,Alba,NA
139,0.989825697,0.539598824,03/04/2022,Network Hubs,House Collection,NA,TAMAN MAS MERAH
140,0.391103261,0.229546962,25/12/2021,Beer Bottle,Self Disposal,Tidy,NA
141,0.7711273,0.015313785,24/02/2022,Network Hubs,House Collection,Greensquare,NA
142,0.533323323,0.320193567,02/02/2021,Tablets,Self Disposal,Alba E-waste Smart Recycling,NA
143,0.928498795,0.418988357,26/04/2021,Beds,Self Disposal,PWC-Sembwaste,NA
144,0.824936479,0.090319758,02/11/2022,Toasters,Self Disposal,Passiton.org,NA
145,0.772157812,0.834266224,18/09/2021,Printer Ink Cartridge,House Collection,NA,THOMSON WALK
146,0.266597205,0.32312818,07/06/2021,Glass Medicine Bottle,Self Disposal,Alba E-waste Smart Recycling,NA
147,0.941116295,0.099769965,30/01/2022,Metal Bottle Cap,Self Disposal,Salvation Army,NA
148,0.704831003,0.872045012,06/09/2021,Carton Box,House Collection,NA,JALAN BESUT
149,0.450136382,0.826663413,10/06/2022,Biscuit Tin,Self Disposal,NA,ANG MO KIO STREET 44
150,0.438109012,0.065202666,06/09/2021,Biscuit Tin,Self Disposal,Passiton.org,NA
151,0.045542377,0.553613126,06/01/2021,Bodywash Bottle,House Collection,NA,BUKIT MERAH LANE 3
152,0.37777115,0.434858035,05/07/2021,Beer Bottle,Self Disposal,PWC-Sembwaste,NA
153,0.01272296,0.279903275,08/08/2022,Aerosol Can,House Collection,Alba,NA
154,0.297947797,0.801944378,21/10/2021,Paint Container,House Collection,NA,ROSYTH ROAD
155,0.415219819,0.549047056,26/02/2021,Biscuit Tin,Self Disposal,NA,COMMONWEALTH CLOSE
156,0.471121095,0.216982359,07/08/2021,Canned Food Can,Self Disposal,Gee Hoe Seng Pte Ltd,NA
157,0.118160769,0.559970875,20/12/2021,Detergent Bottle,Self Disposal,NA,COLLEGE ROAD
158,0.686581632,0.533468933,15/08/2021,Board Games,House Collection,NA,JALAN PELEPAH
159,0.402146796,0.126761592,16/03/2021,Beer Bottle,Self Disposal,Salvation Army,NA
160,0.554036273,0.983095889,24/01/2021,Clothes Dryers,Self Disposal,NA,LORONG SAMAK
161,0.309238093,0.040188794,07/07/2022,Paint Container,House Collection,Greensquare,NA
162,0.499591299,0.408439587,04/03/2022,Canned Food Can,House Collection,PWC-Alba-WH,NA
163,0.3795819,0.900660276,29/10/2021,Beer Bottle,Self Disposal,NA,FACULTY AVENUE
164,0.06593006,0.661102149,31/10/2022,Bodywash Bottle,Self Disposal,NA,POTONG PASIR AVENUE 3
165,0.01141945,0.39905828,02/02/2022,Aerosol Can,House Collection,PWC-Alba-WH,NA
166,0.154376047,0.803485342,10/08/2021,Facial Cleanser Bottle,Self Disposal,NA,LIMBOK TERRACE
167,0.000902115,0.129473352,13/01/2021,Aerosol Can,Self Disposal,Salvation Army,NA
168,0.147876709,0.648786629,14/01/2021,Facial Cleanser Bottle,House Collection,NA,MCNAIR ROAD
169,0.278125135,0.565323163,10/04/2022,Paint Container,Self Disposal,NA,HAJI LANE
170,0.909521434,0.813213221,26/07/2022,Towels,Self Disposal,NA,SERANGOON NORTH AVENUE 5
171,0.586413242,0.344514928,05/08/2021,Sandals,Self Disposal,Alba E-waste Smart Recycling,NA
172,0.30884959,0.023006711,11/11/2022,Paint Container,House Collection,Greensquare,NA
173,0.445078483,0.959298653,02/06/2021,Biscuit Tin,House Collection,NA,FIJI ROAD
174,0.310537089,0.342680335,06/12/2021,Paint Container,Self Disposal,Alba E-waste Smart Recycling,NA
175,0.051486099,0.070762474,16/08/2022,Bodywash Bottle,Self Disposal,Passiton.org,NA
176,0.691558978,0.701211916,10/01/2021,Modems,House Collection,NA,MANGIS ROAD
177,0.357163667,0.628578529,25/07/2021,Shampoo Bottle,Self Disposal,NA,LINDEN DRIVE
178,0.395162438,0.640015688,21/10/2021,Beer Bottle,House Collection,NA,SUFFOLK ROAD
179,0.861727711,0.020639397,25/01/2021,Namecard,House Collection,Greensquare,NA
180,0.666157001,0.614888159,28/10/2022,Sports Shoes,Self Disposal,NA,HOLLAND GROVE VIEW
181,0.505836772,0.677243909,21/10/2021,Writing Paper,House Collection,NA,LORONG 9 GEYLANG
182,0.057360646,0.841202168,07/06/2021,Bodywash Bottle,House Collection,NA,JALAN TARUM
183,0.324031725,0.845940838,12/02/2022,Shampoo Bottle,House Collection,NA,GLADIOLA DRIVE
184,0.374154914,0.512898571,14/05/2021,Beer Bottle,House Collection,NA,CANTONMENT CLOSE
185,0.522234341,0.700294093,19/11/2022,CD Case,Self Disposal,NA,SEA AVENUE
186,0.216317617,0.20073192,15/02/2021,Glass Cosmetic Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,NA
187,0.882056284,0.567130306,01/03/2022,Paper Envelope With Window,Self Disposal,NA,JALAN PISANG
188,0.423488244,0.911461988,16/09/2022,Biscuit Tin,Self Disposal,NA,BURGUNDY CRESCENT
189,0.657725751,0.840064129,15/02/2021,Aerosol Can,House Collection,NA,MARIGOLD DRIVE
190,0.596938367,0.404298122,14/05/2021,Video Tape,House Collection,PWC-Alba-WH,NA
191,0.169427987,0.322770117,28/02/2021,Facial Cleanser Bottle,Self Disposal,Alba E-waste Smart Recycling,NA
192,0.771902508,0.17652464,11/08/2021,Tablets,Self Disposal,Ezi,NA
193,0.496067537,0.154899103,09/07/2021,Canned Food Can,Self Disposal,Ezi,NA
194,0.754041879,0.491805257,15/11/2022,Ceramic,Self Disposal,PWC-800 Super,NA
195,0.963729408,0.357658616,13/03/2021,Ovens,Self Disposal,Alba E-waste Smart Recycling,NA
196,0.77686346,0.914237743,28/07/2022,Contact Lens Blister,Self Disposal,NA,HILLVIEW ROAD
197,0.273580377,0.752598687,25/03/2022,Paint Container,Self Disposal,NA,CHANGI NORTH STREET 1
198,0.293421033,0.770267063,10/06/2021,Paint Container,Self Disposal,NA,SIMEI ROAD
199,0.486610274,0.47928045,23/09/2022,Canned Food Can,Self Disposal,PWC-800 Super,NA
200,0.805925039,0.337730153,22/07/2021,Board Games,Self Disposal,Alba E-waste Smart Recycling,NA
201,0.926571055,0.010145011,22/04/2021,Backpacks,House Collection,Greensquare,NA
202,0.419702114,0.013851317,23/08/2022,Biscuit Tin,House Collection,Greensquare,NA
203,0.600867773,0.967705196,14/09/2022,Sauce Bottle,Self Disposal,NA,JALAN CHERPEN
204,0.660724137,0.543208529,20/10/2021,Wine Bottle,Self Disposal,NA,BIOPOLIS ROAD
205,0.412551954,0.206923862,17/05/2022,Biscuit Tin,Self Disposal,Gee Hoe Seng Pte Ltd,NA
206,0.403672875,0.788820441,14/04/2022,Beer Bottle,Self Disposal,NA,LORONG LOW KOON
207,0.130926255,0.122682505,04/03/2022,Detergent Bottle,Self Disposal,Salvation Army,NA
208,0.156195467,0.455261206,04/09/2021,Facial Cleanser Bottle,Self Disposal,PWC-800 Super,NA
209,0.717907997,0.512355321,16/04/2021,Glass Cosmetic Bottle,Self Disposal,NA,ANSON ROAD
210,0.225288722,0.294357627,17/04/2021,Glass Cosmetic Bottle,House Collection,Alba,NA
211,0.606211543,0.51030561,17/06/2021,Toasters,House Collection,NA,ERSKINE ROAD
212,0.437291967,0.433135245,06/06/2021,Biscuit Tin,Self Disposal,PWC-Sembwaste,NA
213,0.611660625,0.522235273,25/11/2021,Desktop Monitors,House Collection,NA,BUKIT TERESA CLOSE
214,0.602593991,0.974490239,13/10/2021,Glass Plate,Self Disposal,NA,LI PO AVENUE
215,0.560559852,0.148970305,20/02/2022,Packet Drink,Self Disposal,Ezi,NA
216,0.192486836,0.44206743,14/05/2022,Glass Cosmetic Bottle,Self Disposal,PWC-Sembwaste,NA
217,0.849261157,0.672905079,24/10/2022,Sofas,Self Disposal,NA,ALJUNIED AVENUE 2
218,0.554084928,0.785293954,03/01/2022,Clothes Dryers,House Collection,NA,LORONG GAMBIR
219,0.586360591,0.337992285,09/05/2022,Toasters,Self Disposal,Alba E-waste Smart Recycling,NA
220,0.497098085,0.41489588,26/08/2021,Canned Food Can,Self Disposal,PWC-Sembwaste,NA
221,0.29646935,0.623729576,01/04/2021,Paint Container,Self Disposal,NA,EAST SUSSEX LANE
222,0.957799769,0.347813101,28/06/2022,Juice Carton,Self Disposal,Alba E-waste Smart Recycling,NA
223,0.610336392,0.104821638,20/03/2021,Rice,Self Disposal,Salvation Army,NA
224,0.239338472,0.644226486,04/05/2021,Glass Medicine Bottle,Self Disposal,NA,CHANCERY HILL WALK
225,0.123382968,0.04573141,13/03/2021,Detergent Bottle,Self Disposal,Passiton.org,NA
226,0.47410432,0.306494195,21/07/2022,Canned Food Can,House Collection,Alba,NA
227,0.36706342,0.087846065,14/07/2022,Beer Bottle,Self Disposal,Passiton.org,NA
228,0.4973542,0.518156773,03/05/2022,Canned Food Can,House Collection,NA,OCEAN WAY
229,0.067979152,0.013382477,02/12/2021,Bodywash Bottle,House Collection,Greensquare,NA
230,0.237800155,0.968602383,19/06/2022,Glass Medicine Bottle,House Collection,NA,MANDAI ROAD - TRACK 7
231,0.915485762,0.214867688,10/05/2021,Disposable Wooden Chopstick,Self Disposal,Gee Hoe Seng Pte Ltd,NA
232,0.631279182,0.916299593,26/07/2022,Towels,House Collection,NA,BANGKIT ROAD
233,0.121673084,0.579189313,30/04/2021,Detergent Bottle,Self Disposal,NA,BIRCH ROAD
234,0.123088281,0.63735105,31/01/2021,Detergent Bottle,Self Disposal,NA,DUNEARN CLOSE
235,0.906106738,0.08554049,11/05/2021,Carriers,Self Disposal,Passiton.org,NA
236,0.08050807,0.551619562,01/03/2021,Bodywash Bottle,Self Disposal,NA,REDHILL ROAD
237,0.836525793,0.080217027,13/06/2022,Contact Lens Blister,Self Disposal,Passiton.org,NA
238,0.740986973,0.49452095,13/07/2022,CD Case,Self Disposal,PWC-800 Super,NA
239,0.712802157,0.193955077,06/08/2021,Long Fluorescent Tubes,Self Disposal,Gee Hoe Seng Pte Ltd,NA
240,0.201460516,0.850071204,24/11/2021,Glass Cosmetic Bottle,House Collection,NA,UPPER BUKIT TIMAH ROAD
241,0.849601841,0.816918135,21/06/2022,Crockery,House Collection,NA,TAI HWAN GROVE
242,0.831984147,0.262279266,04/11/2021,Light Bulbs,Self Disposal,Tidy,NA
243,0.172019057,0.447643925,10/11/2021,Facial Cleanser Bottle,Self Disposal,PWC-Sembwaste,NA
244,0.512101249,0.526355277,11/12/2021,Computers,House Collection,NA,COMPUTING DRIVE
245,0.326070589,0.960068196,16/05/2021,Shampoo Bottle,Self Disposal,NA,CYPRUS ROAD
246,0.888491576,0.467765634,13/05/2022,Instant Noodles,Self Disposal,PWC-800 Super,NA
247,0.095669278,0.445305465,04/04/2022,Detergent Bottle,Self Disposal,PWC-Sembwaste,NA
248,0.497063292,0.257550284,22/11/2022,Canned Food Can,Self Disposal,Tidy,NA
249,0.337859893,0.52727291,09/05/2022,Shampoo Bottle,Self Disposal,NA,SCIENCE DRIVE 4
250,0.914413388,0.391756493,22/05/2021,Pyrex Glass,House Collection,PWC-Alba-WH,NA
251,0.911648477,0.556089633,19/07/2021,Long Fluorescent Tubes,House Collection,NA,TIONG POH ROAD
252,0.599638971,0.601960729,27/09/2022,Food Jar,Self Disposal,NA,NASSIM HILL
253,0.607405298,0.136886365,29/10/2021,Soft Toys,Self Disposal,Ezi,NA
254,0.123560283,0.394581098,30/10/2022,Detergent Bottle,House Collection,PWC-Alba-WH,NA
255,0.911513337,0.341583503,02/01/2022,Light Bulbs,Self Disposal,Alba E-waste Smart Recycling,NA
256,0.716849043,0.616528118,11/10/2022,Plant,House Collection,NA,MOUNT SINAI WALK
257,0.317112675,0.149881949,27/03/2022,Paint Container,Self Disposal,Ezi,NA
258,0.662112815,0.218659464,23/04/2021,Glass Cup,Self Disposal,Gee Hoe Seng Pte Ltd,NA
259,0.294259237,0.690853908,20/05/2022,Paint Container,House Collection,NA,KAKI BUKIT ROAD 1
260,0.639304476,0.958314135,30/11/2022,Food Jar,House Collection,NA,JALAN KERAYONG
261,0.167360549,0.067980247,14/07/2021,Facial Cleanser Bottle,Self Disposal,Passiton.org,NA
262,0.242285549,0.641750794,15/10/2021,Glass Medicine Bottle,Self Disposal,NA,JALAN PASIRAN
263,0.566856073,0.428003372,28/02/2021,Sports Shoes,Self Disposal,PWC-Sembwaste,NA
264,0.341251373,0.185717044,31/12/2021,Shampoo Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,NA
265,0.254202876,0.555545329,25/06/2021,Glass Medicine Bottle,Self Disposal,NA,CHIN SWEE ROAD
266,0.111557959,0.026853947,13/06/2021,Detergent Bottle,House Collection,Greensquare,NA
267,0.020769966,0.101208198,09/05/2021,Aerosol Can,Self Disposal,Salvation Army,NA
268,0.902685169,0.967525053,20/06/2022,Plastic Film Packaging,Self Disposal,NA,JALAN HIKAYAT
269,0.323448444,0.960457349,27/03/2021,Shampoo Bottle,Self Disposal,NA,BEAULIEU ROAD
270,0.082611112,0.050471608,26/08/2022,Bodywash Bottle,Self Disposal,Passiton.org,NA
271,0.996170299,0.937407172,01/11/2022,Glass Cosmetic Bottle,House Collection,NA,WOODLANDS DRIVE 17
272,0.313713266,0.656123087,05/02/2021,Paint Container,Self Disposal,NA,JALAN KOLAM AYER
273,0.650748573,0.254295731,03/07/2021,Bedsheets,Self Disposal,Tidy,NA
274,0.0795507,0.416233185,30/07/2021,Bodywash Bottle,Self Disposal,PWC-Sembwaste,NA
275,0.924317426,0.174531805,22/08/2022,Toasters,Self Disposal,Ezi,NA
276,0.162585876,0.731467221,14/07/2022,Facial Cleanser Bottle,Self Disposal,NA,BEDOK NORTH ROAD
277,0.421271548,0.727581656,01/01/2022,Biscuit Tin,Self Disposal,NA,FRANKEL CLOSE
278,0.84595165,0.777607272,19/03/2022,Soft Toys,House Collection,NA,TAMPINES INDUSTRIAL AVENUE 3
279,0.282822504,0.756223198,29/04/2022,Paint Container,House Collection,NA,JALAN LOYANG BESAR
280,0.192997716,0.279394256,10/01/2021,Glass Cosmetic Bottle,House Collection,Alba,NA
281,0.229646533,0.485146383,19/02/2021,Glass Medicine Bottle,Self Disposal,PWC-800 Super,NA
